2025-12-28 16:44:45 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MOCK RESPONSE] Generating response for: analyst_agent
2025-12-28 16:44:45 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] No specific mock found for 'analyst_agent'. Returning generic fallback.
2025-12-28 16:44:45 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [AnalystAgent] Updated state.step_analyst
2025-12-28 16:44:45 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [AnalystAgent] Lifecycle Hook: post_process
2025-12-28 16:44:45 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [AnalystAgent] Execution completed.
2025-12-28 16:44:45 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Running step: InteractionAnalystAgent (Step ID: step_interaction)
2025-12-28 16:44:45 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Configured InteractionAnalystAgent with gemini/gemini-3-pro-preview (Provider: google)
2025-12-28 16:44:46 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.services.prompt_builder | [PromptBuilder] Constructed PROMPT for step_interaction (Length: 10 parts)
2025-12-28 16:44:46 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [InteractionAnalystAgent] Starting execution...
2025-12-28 16:44:46 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [InteractionAnalystAgent] Lifecycle Hook: prepare_context
2025-12-28 16:44:46 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [InteractionAnalystAgent] >>> EXECUTION START <<<
2025-12-28 16:44:46 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [InteractionAnalystAgent] MODEL: gemini/gemini-3-pro-preview | TEMP: 0.5 | TOKENS: 16384
2025-12-28 16:44:46 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.provider | [MockProvider] Calling Mock Service (Simulating Async)... {'repository': <backend.database.repository.TinyDBRepository object at 0x00000207851F3530>, 'output_key': 'step_interaction', 'mock_identity': 'InteractionAnalystAgent'}
2025-12-28 16:44:47 | WARNING | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Mock data file not found at C:\Users\risto\OneDrive\quorum\data\mock_responses.json. Using empty defaults.
2025-12-28 16:44:47 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Intercepted call. Prompt length: 60
2025-12-28 16:44:47 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Identified agent via explicit identity: 'InteractionAnalystAgent' -> 'interaction_agent'
2025-12-28 16:44:47 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MOCK RESPONSE] Generating response for: interaction_agent
2025-12-28 16:44:47 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] No specific mock found for 'interaction_agent'. Returning generic fallback.
2025-12-28 16:44:47 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [InteractionAnalystAgent] Updated state.step_interaction
2025-12-28 16:44:47 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [InteractionAnalystAgent] Lifecycle Hook: post_process
2025-12-28 16:44:47 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [InteractionAnalystAgent] Execution completed.
2025-12-28 16:44:47 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Running step: ProfilerAgent (Step ID: step_profiler)
2025-12-28 16:44:47 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.core.runner | [PipelineRunner] Configured ProfilerAgent with gemini/gemini-3-pro-preview (Provider: google)
2025-12-28 16:44:48 | DEBUG | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.services.prompt_builder | [PromptBuilder] Constructed PROMPT for step_profiler (Length: 8 parts)
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ProfilerAgent] Starting execution...
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ProfilerAgent] Lifecycle Hook: prepare_context
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ProfilerAgent] >>> EXECUTION START <<<
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.agents.base | [ProfilerAgent] MODEL: gemini/gemini-3-pro-preview | TEMP: 0.5 | TOKENS: 16384
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.provider | [MockProvider] Calling Mock Service (Simulating Async)... {'repository': <backend.database.repository.TinyDBRepository object at 0x00000207851F3530>, 'output_key': 'step_profiler', 'mock_identity': 'ProfilerAgent'}
2025-12-28 16:44:48 | WARNING | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Mock data file not found at C:\Users\risto\OneDrive\quorum\data\mock_responses.json. Using empty defaults.
2025-12-28 16:44:48 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MockLLM] Intercepted call. Prompt length: 60
