| Table                | seed_data.json | copy.json | db.json |
|----------------------|----------------|-----------|---------|
| agents               | 15             | 15        | 15      | OK
| claims               | 193            | 193       | 193     | OK
| components           | 59             | 59        | 59      | OK
| concepts             | 76             | 76        | 76      | OK
| dimensions           | 3              | 3         | 3       | OK
| matrices             | 2              | 2         | 2       | OK
| organizations        | 2              | 2         | 2       | OK
| output_configs       | 2              | 2         | 2       | OK
| references           | 197            | 197       | 197     | OK
| steps                | 16             | 16        | 16      | OK
| system_config        | 2              | 2         | 2       | OK
| users                | 5              | 5         | 5       | OK
| workflows            | 6              | 6         | 6       | OK
